id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2024-1178450,2024-03-28,000001,Vente,66000,9001,,BD FAIDHERBE,0360,97110,97120,Pointe-à-Pitre,971,,,97120000AD0054,,,100,62.66,,,,,,,,,1,2,Appartement,62,3,,,,,,-61.536541,16.241549
2024-1178452,2024-03-26,000001,Vente,140000,2,,RUE SCHOELCHER,0730,97110,97120,Pointe-à-Pitre,971,,,97120000AI0138,,,19,46.29,,,,,,,,,1,2,Appartement,50,2,,,,,,-61.537423,16.235799
2024-1178463,2024-04-17,000001,Vente,60000,8001,,FG FREBAULT,0400,97110,97120,Pointe-à-Pitre,971,,,97120000AD0042,,,1,26.68,,,,,,,,,1,4,Local industriel. commercial ou assimilé,26,0,,,,,,-61.535051,16.243312
2024-1178476,2024-03-26,000001,Vente,36624.88,8001,,RES POINSETTIA HAMOT,A166,97110,97120,Pointe-à-Pitre,971,,,97120000AE0310,,,40,,,,,,,,,,1,2,Appartement,74,3,,,,,,-61.533198,16.242696
2024-1178478,2024-04-23,000001,Vente,90000,8001,,RUE HINCELIN,0490,97110,97120,Pointe-à-Pitre,971,,,97120000AD0040,,,20,,,,,,,,,,1,2,Appartement,44,3,,,,,,-61.535037,16.244199
2024-1178489,2024-03-15,000001,Vente,700000,2,,RES ACHILLE RENE BOISNEUF,A001,97110,97120,Pointe-à-Pitre,971,,,97120000AK0183,,,1,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,100,0,,,,,,-61.535645,16.235905
2024-1178489,2024-03-15,000001,Vente,700000,2,,RES ACHILLE RENE BOISNEUF,A001,97110,97120,Pointe-à-Pitre,971,,,97120000AK0183,,,3,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,48,0,,,,,,-61.535645,16.235905
2024-1178489,2024-03-15,000001,Vente,700000,2,,RES ACHILLE RENE BOISNEUF,A001,97110,97120,Pointe-à-Pitre,971,,,97120000AK0183,,,2,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,100,0,,,,,,-61.535645,16.235905
2024-1178491,2024-03-26,000001,Vente,93900,10,,RUE DE L ABBE GREGOIRE,0010,97110,97120,Pointe-à-Pitre,971,,,97120000AH0174,,,6,59.51,,,,,,,,,1,2,Appartement,59,3,,,,,,-61.535633,16.239997
2024-1178518,2024-04-04,000001,Vente,90000,107,,RUE DE NOZIERES,0617,97110,97120,Pointe-à-Pitre,971,,,97120000AM0011,,,2,101.55,,,,,,,,,1,2,Appartement,140,5,,,,,,-61.534588,16.240372
2024-1178550,2024-04-30,000001,Vente,58900,8001,,RES ESPACE 2000,A053,97110,97120,Pointe-à-Pitre,971,,,97120000AD0053,,,46,,,,,,,,,,1,2,Appartement,72,4,,,,,,-61.53697,16.241721
2024-1178563,2024-04-24,000001,Vente,236500,8001,,TOUR SECID,C110,97110,97120,Pointe-à-Pitre,971,,,97120000AD0066,,,24,161.97,,,,,,,,,1,4,Local industriel. commercial ou assimilé,168,0,,,,,,-61.535597,16.241272
